task_id,contributor_id,label,seconds
0,59,0,31.73
0,42,1,20.24
0,197,0,16.87
0,181,0,1.32
0,180,1,1.29
1,30,1,19.67
1,144,0,27.05
1,148,1,23.23
1,46,1,27.94
1,37,1,22.1
2,98,1,25.2
2,75,0,27.13
2,37,1,24.41
2,50,1,34.75
2,72,1,18.47
3,147,1,34.06
3,65,0,37.22
3,156,0,36.86
3,130,1,38.43
3,10,1,36.2
4,176,0,1.28
4,108,0,26.86
4,190,1,11.56
4,181,1,1.55
4,183,0,1.79
5,175,1,1.89
5,119,0,33.0
5,198,1,11.83
5,44,1,28.66
5,58,1,24.99
6,166,0,5.51
6,92,0,17.79
6,153,1,16.94
6,127,0,20.52
6,64,0,17.92
7,140,0,32.23
7,185,0,0.67
7,104,1,27.93
7,175,1,0.97
7,94,0,29.95
8,49,0,25.02
8,151,0,29.53
8,54,0,21.34
8,52,1,20.07
8,22,1,28.56
9,42,0,21.63
9,161,0,6.17
9,162,0,2.99
9,16,0,24.0
9,151,0,14.81
10,152,1,21.51
10,12,1,25.7
10,182,0,1.56
10,126,1,28.24
10,23,1,30.4
11,168,0,4.78
11,48,1,15.91
11,188,0,1.43
11,135,1,21.5
11,63,1,24.11
12,100,1,23.75
12,172,0,6.19
12,186,0,1.77
12,138,1,29.85
12,108,1,18.75
13,106,1,28.67
13,189,1,1.06
13,46,1,27.13
13,132,1,25.01
13,60,0,27.11
14,77,1,23.39
14,73,1,26.24
14,16,1,32.75
14,79,1,26.54
14,132,1,18.5
15,34,1,32.78
15,70,1,25.11
15,131,0,26.5
15,123,1,15.65
15,186,0,1.14
16,69,1,38.0
16,55,0,32.6
16,193,0,6.85
16,30,1,36.54
16,78,1,33.84
17,2,0,24.0
17,179,1,1.59
17,126,1,30.82
17,64,0,32.02
17,173,0,8.44
18,185,1,1.02
18,154,0,22.46
18,30,1,24.34
18,1,0,27.06
18,40,1,26.11
19,160,0,6.37
19,93,0,35.83
19,54,0,33.25
19,75,0,30.06
19,103,0,28.35
20,156,1,24.3
20,144,0,21.29
20,152,1,17.57
20,127,1,17.14
20,190,0,12.92
21,81,0,31.46
21,178,0,1.62
21,126,0,33.78
21,141,0,33.36
21,96,0,28.97
22,44,1,29.05
22,186,1,1.95
22,95,0,37.3
22,78,0,32.53
22,40,0,30.45
23,198,1,13.19
23,59,1,24.98
23,120,0,32.09
23,67,1,27.14
23,27,1,24.02
24,3,1,34.32
24,126,0,33.97
24,147,1,30.44
24,59,0,31.95
24,18,1,30.02
25,49,1,24.8
25,90,1,26.33
25,88,1,15.87
25,141,1,26.99
25,138,1,27.43
26,103,0,26.82
26,162,0,5.64
26,174,0,7.71
26,146,0,34.05
26,5,0,32.37
27,78,0,25.28
27,62,0,15.44
27,19,1,22.64
27,114,1,15.49
27,184,1,1.06
28,168,0,3.73
28,161,0,7.27
28,166,0,5.92
28,15,0,33.09
28,139,0,36.38
29,59,1,33.05
29,79,0,27.06
29,178,1,1.51
29,24,0,30.87
29,46,0,28.6
30,53,0,17.03
30,27,0,24.01
30,89,0,21.32
30,108,0,16.15
30,109,0,22.09
31,194,1,12.48
31,118,0,25.67
31,197,1,7.02
31,98,0,31.96
31,66,0,32.91
32,110,0,30.52
32,127,0,40.44
32,152,1,27.54
32,51,1,30.83
32,94,1,30.76
33,90,0,35.53
33,52,1,30.98
33,174,0,5.52
33,171,0,6.51
33,7,0,36.85
34,189,0,1.71
34,186,0,1.23
34,32,1,30.82
34,172,0,5.94
34,86,0,32.63
35,198,0,8.63
35,187,1,1.33
